iteration,iteration-mean-cost,best-cost
1,7.4,6.0
2,7.0,6.0
3,6.8,6.0
4,6.9,6.0
5,6.7,6.0
6,6.7,6.0
7,6.9,6.0
8,6.3,6.0
9,6.4,6.0
10,6.7,6.0
11,6.8,6.0
12,6.9,6.0
13,6.3,6.0
14,6.3,6.0
15,6.5,6.0
16,6.6,6.0
17,6.4,6.0
18,6.5,6.0
19,6.4,6.0
20,6.4,6.0
21,6.5,6.0
22,6.8,6.0
23,6.4,6.0
24,6.5,6.0
25,6.5,6.0
26,6.5,6.0
27,6.6,6.0
28,6.9,6.0
29,6.6,6.0
30,6.8,6.0
31,6.6,6.0
32,7.0,6.0
33,6.8,6.0
34,6.7,6.0
35,6.8,6.0
36,6.8,6.0
37,6.5,6.0
38,6.6,6.0
39,6.3,6.0
40,6.4,6.0
41,6.7,6.0
42,6.2,6.0
43,6.4,6.0
44,6.7,6.0
45,6.6,6.0
46,6.7,6.0
47,7.0,6.0
48,6.8,6.0
49,6.5,6.0
50,6.8,6.0
51,6.6,6.0
52,6.9,6.0
53,6.6,6.0
54,6.8,6.0
55,6.8,6.0
56,6.7,6.0
57,6.9,6.0
58,6.7,6.0
59,6.5,6.0
60,6.9,6.0
61,6.7,6.0
62,6.6,6.0
63,6.4,6.0
64,6.9,6.0
65,6.7,6.0
66,6.8,6.0
67,7.3,6.0
68,6.9,6.0
69,6.7,6.0
70,6.5,6.0
71,6.2,6.0
72,6.5,6.0
73,6.3,6.0
74,6.6,6.0
75,6.3,6.0
76,6.7,6.0
77,6.6,6.0
78,6.3,6.0
79,6.6,6.0
80,6.6,6.0
81,6.5,6.0
82,6.8,6.0
83,6.7,6.0
84,6.9,6.0
85,6.5,6.0
86,6.8,6.0
87,7.0,6.0
88,6.4,6.0
89,6.3,6.0
90,6.7,6.0
91,6.9,6.0
92,6.4,6.0
93,6.3,6.0
94,6.6,6.0
95,6.4,6.0
96,6.8,6.0
97,6.9,6.0
98,7.0,6.0
99,6.6,6.0
100,7.0,6.0
